GEO.id,GEO.id2,GEO.display-label,lvl0_C002,lvl1_C002,lvl2_C002,lvl0_C003,lvl1_C003,lvl2_C003,lvl0_C004,lvl1_C004,lvl2_C004,lvl0_C005,lvl1_C005,lvl2_C005,lvl0_C006,lvl1_C006,lvl2_C006,lvl0_C008,lvl1_C008,lvl2_C008,lvl0_C010,lvl1_C010,lvl2_C010,lvl0_C011,lvl1_C011,lvl2_C011,lvl0_C012,lvl1_C012,lvl2_C012,lvl0_C013,lvl1_C013,lvl2_C013,lvl0_C015,lvl1_C015,lvl2_C015,lvl0_C016,lvl1_C016,lvl2_C016,lvl0_C017,lvl1_C017,lvl2_C017,lvl0_C018,lvl1_C018,lvl2_C018,lvl0_C019,lvl1_C019,lvl2_C019,lvl0_C020,lvl1_C020,lvl2_C020,lvl0_C021,lvl1_C021,lvl2_C021,lvl0_C022,lvl1_C022,lvl2_C022,lvl0_C023,lvl1_C023,lvl2_C023,lvl0_C024,lvl1_C024,lvl2_C024,lvl0_C025,lvl1_C025,lvl2_C025,lvl0_C026,lvl1_C026,lvl2_C026,lvl0_C027,lvl1_C027,lvl2_C027,lvl0_C028,lvl1_C028,lvl2_C028,lvl0_C029,lvl1_C029,lvl2_C029,lvl0_C030,lvl1_C030,lvl2_C030,lvl0_C031,lvl1_C031,lvl2_C031,lvl0_C032,lvl1_C032,lvl2_C032,lvl0_C033,lvl1_C033,lvl2_C033,lvl0_C034,lvl1_C034,lvl2_C034,lvl0_C036,lvl1_C036,lvl2_C036,lvl0_C038,lvl1_C038,lvl2_C038,lvl0_C039,lvl1_C039,lvl2_C039,lvl0_C040,lvl1_C040,lvl2_C040,lvl0_C042,lvl1_C042,lvl2_C042,lvl0_C044,lvl1_C044,lvl2_C044,lvl0_C046,lvl1_C046,lvl2_C046
Id,Id2,Geography,State and Local; Total contributions,State; Total contributions,Local; Total contributions,State and Local; Total contributions - Employee contributions,State; Total contributions - Employee contributions,Local; Total contributions - Employee contributions,State and Local; Total contributions - Government contributions,State; Total contributions - Government contributions,Local; Total contributions - Government contributions,State and Local; Total contributions - Government contributions - State government contributions,State; Total contributions - Government contributions - State government contributions,Local; Total contributions - Government contributions - State government contributions,State and Local; Total contributions - Government contributions - Local government contributions,State; Total contributions - Government contributions - Local government contributions,Local; Total contributions - Government contributions - Local government contributions,State and Local; Earnings on investments (3),State; Earnings on investments (3),Local; Earnings on investments (3),State and Local; Total payments,State; Total payments,Local; Total payments,State and Local; Total payments - Benefits,State; Total payments - Benefits,Local; Total payments - Benefits,State and Local; Total payments - Withdrawals,State; Total payments - Withdrawals,Local; Total payments - Withdrawals,State and Local; Total payments - Other payments,State; Total payments - Other payments,Local; Total payments - Other payments,State and Local; Total cash and investment holdings,State; Total cash and investment holdings,Local; Total cash and investment holdings,State and Local; Total cash and investment holdings - Total cash and short-term investments,State; Total cash and investment holdings - Total cash and short-term investments,Local; Total cash and investment holdings - Total cash and short-term investments,State and Local; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,State; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,Local; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,"State and Local; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","State; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","Local; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments",State and Local; Total cash and investment holdings - Total securities,State; Total cash and investment holdings - Total securities,Local; Total cash and investment holdings - Total securities,State and Local; Total cash and investment holdings - Total securities - Governmental securities,State; Total cash and investment holdings - Total securities - Governmental securities,Local; Total cash and investment holdings - Total securities - Governmental securities,State and Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government,Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State and Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State and Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,Local; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State and Local; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State; Total cash and investment holdings - Total securities - Governmental securities - State and local government,Local; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities,Local; Total cash and investment holdings - Total securities - Nongovernmental securities,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State and Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,Local; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State and Local; Total cash and investment holdings - Total other investments,State; Total cash and investment holdings - Total other investments,Local; Total cash and investment holdings - Total other investments,State and Local; Total cash and investment holdings - Total other investments - Real property,State; Total cash and investment holdings - Total other investments - Real property,Local; Total cash and investment holdings - Total other investments - Real property,State and Local; Total cash and investment holdings - Total other investments - Miscellaneous investments,State; Total cash and investment holdings - Total other investments - Miscellaneous investments,Local; Total cash and investment holdings - Total other investments - Miscellaneous investments,State and Local; Number of systems,State; Number of systems,Local; Number of systems,State and Local; Total membership,State; Total membership,Local; Total membership,State and Local; Total membership - Active membership,State; Total membership - Active membership,Local; Total membership - Active membership,State and Local; Total membership - Inactive membership,State; Total membership - Inactive membership,Local; Total membership - Inactive membership,State and Local; Total beneficiaries receiving periodic benefit payments,State; Total beneficiaries receiving periodic benefit payments,Local; Total beneficiaries receiving periodic benefit payments,State and Local; Covered payroll,State; Covered payroll,Local; Covered payroll,State and Local; Pension Obligations,State; Pension Obligations,Local; Pension Obligations
0100000US,,United States,143436798,110517658,32919140,43260697,35932106,7328591,100176101,74585552,25590549,42861381,41932108,929273,57314720,32653444,24661276,93055909,81998680,11057229,242791529,199422184,43369345,226743500,186352632,40390868,5034567,4348826,685741,11013462,8720726,2292736,3024603281,2527989000,496614281,110946501,82300200,28646301,27027264,20531408,6495856,83919237,61768792,22150445,2424886752,2031090549,393796203,306977245,252772673,54204572,306246218,252090042,54156176,188616332,157596907,31019425,117629886,94493135,23136751,731027,682631,48396,2117909507,1778317876,339591631,386200445,316668174,69532271,1108232400,931182599,177049801,10698494,9613974,1084520,45096656,35065839,10030817,529031115,453273648,75757467,38650397,32513642,6136755,488770028,414598251,74171777,119751497,105991152,13760345,369018531,308607099,60411432,3998,227,3771,19607704,17570123,2037581,14390636,12663020,1727616,5217068,4907103,309965,9015453,7626436,1389017,591783461,591783461,NA,3523968135,3523968135,NA
0400000US01,01,Alabama,1721444,1625999,95445,718903,675572,43331,1002541,950427,52114,130865,129460,1405,871676,820967,50709,4519120,4464099,55021,3021251,2806309,214942,2881455,2681068,200387,86236,81836,4400,53560,43405,10155,30360976,28030149,2330827,1255627,1171693,83934,63992,25154,38838,1191635,1146539,45096,26166644,23993322,2173322,1158743,778061,380682,1158582,778061,380521,1023993,713124,310869,134589,64937,69652,161,0,161,25007901,23215261,1792640,6814540,6411601,402939,14114717,13152659,962058,0,0,0,35218,0,35218,3759411,3651001,108410,284015,0,284015,2938705,2865134,73571,2864542,2855860,8682,74163,9274,64889,11,4,7,271029,258218,12811,236973,224409,12564,34056,33809,247,113085,106195,6890,9742069,9742069,NA,43589993,43589993,NA
0400000US02,02,Alaska,695763,680926,14837,165861,165428,433,529902,515498,14404,295774,294614,1160,234128,220884,13244,42564,37831,4733,1017519,989018,28501,959478,932480,26998,14029,13543,486,44012,42995,1017,9582654,9248494,334160,169515,165751,3764,169505,165751,3754,10,0,10,7442754,7178166,264588,987780,960087,27693,987276,960087,27189,984629,960087,24542,2647,0,2647,504,0,504,6454974,6218079,236895,327508,283405,44103,3768239,3638532,129707,0,0,0,8507,0,8507,2346175,2291597,54578,4545,4545,0,1970385,1904577,65808,481157,476083,5074,1489228,1428494,60734,6,4,2,44849,44374,475,36197,35853,344,8652,8521,131,39742,39022,720,2151852,2151852,NA,17310999,17310999,NA
0400000US04,04,Arizona,2636008,2327636,308372,1212441,1092687,119754,1423567,1234949,188618,204032,198555,5477,1219535,1036394,183141,494335,427023,67312,3723724,3390466,333258,3254241,2944509,309732,251258,245500,5758,218225,200457,17768,37602724,33996426,3606298,1696435,1594413,102022,93156,10771,82385,1603279,1583642,19637,30602466,27312031,3290435,3526824,3149865,376959,3526824,3149865,376959,3482716,3105757,376959,44108,44108,0,0,0,0,27075642,24162166,2913476,3524056,3073406,450650,17093116,15428668,1664448,0,0,0,68026,0,68026,6390444,5660092,730352,0,0,0,5303823,5089982,213841,2341796,2269864,71932,2962027,2820118,141909,7,4,3,471972,455424,16548,263655,248724,14931,208317,206700,1617,143743,131222,12521,11104409,11104409,NA,50115521,50115521,NA
0400000US05,05,Arkansas,953958,923543,30415,187846,186683,1163,766112,736860,29252,296588,293751,2837,469524,443109,26415,-68897,-88667,19770,1380362,1337822,42540,1272339,1231040,41299,18856,18664,192,89167,88118,1049,20914083,20670699,243384,661716,648299,13417,459120,448550,10570,202596,199749,2847,16595276,16369336,225940,602167,566062,36105,596794,560692,36102,539957,511354,28603,56837,49338,7499,5373,5370,3,15993109,15803274,189835,4737541,4710865,26676,5812997,5669471,143526,42666,42666,0,611522,592042,19480,4788383,4788230,153,0,0,0,3657091,3653064,4027,679652,679647,5,2977439,2973417,4022,33,6,27,161020,160408,612,134948,134401,547,26072,26007,65,70583,68998,1585,4854482,4854482,NA,27605770,27605770,NA
0400000US06,06,California,27857987,19862901,7995086,8255038,6175311,2079727,19602949,13687590,5915359,6618364,6604708,13656,12984585,7082882,5901703,15828107,13972478,1855629,40470531,29308819,11161712,38334739,28153796,10180943,532718,420412,112306,1603074,734611,868463,594772919,430239679,164533240,20164969,10075502,10089467,4468126,2510131,1957995,15696843,7565371,8131472,478810888,357692704,121118184,43502523,28799133,14703390,43496568,28799133,14697435,19682118,11118212,8563906,23814450,17680921,6133529,5955,0,5955,435308365,328893571,106414794,77569231,55397483,22171748,224280191,177077226,47202965,263151,203707,59444,1110714,0,1110714,131981501,96215155,35766346,103577,0,103577,95797062,62471473,33325589,40879242,33505963,7373279,54917820,28965510,25952310,63,5,58,2296607,1891699,404908,1679348,1334760,344588,617259,556939,60320,1136227,874734,261493,78964000,78964000,NA,592153000,592153000,NA
0400000US08,08,Colorado,1980274,1792563,187711,844937,755821,89116,1135337,1036742,98595,300575,291754,8821,834762,744988,89774,938640,892269,46371,4168594,3928050,240544,3774483,3554110,220373,187538,179276,8262,206573,194664,11909,43544822,40559004,2985818,1006541,945618,60923,16128,0,16128,990413,945618,44795,36929814,34897585,2032229,3500134,3295632,204502,3499917,3295632,204285,2949130,2780368,168762,550787,515264,35523,217,0,217,33429680,31601953,1827727,5688038,5233543,454495,18371990,17545383,826607,0,0,0,85073,0,85073,9280760,8823027,457733,3819,0,3819,5608467,4715801,892666,485199,398625,86574,5123268,4317176,806092,67,2,65,423996,402711,21285,232171,215601,16570,191825,187110,4715,117681,105262,12419,7882936,7882936,NA,64190236,64190236,NA
0400000US09,09,Connecticut,2280726,1952417,328309,451813,341587,110226,1828913,1610830,218083,1559238,1550599,8639,269675,60231,209444,978869,851524,127345,3811315,3171812,639503,3682047,3065777,616270,33082,25577,7505,96186,80458,15728,30779823,23850644,6929179,857806,327976,529830,691143,327976,363167,166663,0,166663,29253273,23294752,5958521,802940,0,802940,802925,0,802925,550896,0,550896,252029,0,252029,15,0,15,28450333,23294752,5155581,7163879,6135767,1028112,12057453,8949637,3107816,0,0,0,320587,0,320587,6786217,6221175,565042,2122197,1988173,134024,668744,227916,440828,4751,0,4751,663993,227916,436077,61,6,55,148304,125034,23270,133948,112597,21351,14356,12437,1919,108451,83294,25157,7592062,7592062,NA,49109240,49109240,NA
0400000US10,10,Delaware,295866,261132,34734,61082,57049,4033,234784,204083,30701,201056,191331,9725,33728,12752,20976,346025,350138,-4113,566648,513402,53246,534216,482274,51942,4745,4490,255,27687,26638,1049,8031285,7511919,519366,531964,515328,16636,526712,515328,11384,5252,0,5252,5592826,5090096,502730,49911,5438,44473,47049,5438,41611,16794,5438,11356,30255,0,30255,2862,0,2862,5542915,5084658,458257,1892654,1813458,79196,2434460,2270393,164067,0,0,0,0,0,0,1000807,1000807,0,214994,0,214994,1906495,1906495,0,0,0,0,1906495,1906495,0,8,1,7,47724,45863,1861,44577,42832,1745,3147,3031,116,27776,25355,2421,2047775,2047775,NA,8869636,8869636,NA
0400000US11,11,District of Columbia,269122,X,269122,60698,X,60698,208424,X,208424,0,X,0,208424,X,208424,653652,X,653652,289968,X,289968,271175,X,271175,0,X,0,18793,X,18793,8095153,X,8095153,108879,X,108879,40687,X,40687,68192,X,68192,7602088,X,7602088,856010,X,856010,856010,X,856010,838177,X,838177,17833,X,17833,0,X,0,6746078,X,6746078,1410519,X,1410519,4272009,X,4272009,0,X,0,60230,X,60230,906223,X,906223,97097,X,97097,384186,X,384186,312182,X,312182,72004,X,72004,7,X,7,21763,X,21763,19844,X,19844,1919,X,1919,10255,X,10255,NA,X,NA,NA,X,NA
0400000US12,12,Florida,4058893,2309052,1749841,1298381,806140,492241,2760512,1502912,1257600,437524,317055,120469,2322988,1185857,1137131,6853668,6261491,592177,8544737,6612631,1932106,7986897,6217622,1769275,54536,1673,52863,503304,393336,109968,150318132,127090903,23227229,8012680,6830001,1182679,770924,220796,550128,7241756,6609205,632551,118267661,98285607,19982054,22145710,19130525,3015185,22145241,19130525,3014716,11228248,9430834,1797414,10916993,9699691,1217302,469,0,469,96121951,79155082,16966869,12654437,8815755,3838682,43893759,33407722,10486037,17641,0,17641,598632,0,598632,38663449,36931605,1731844,294033,0,294033,24037791,21975295,2062496,8505053,8176282,328771,15532738,13799013,1733725,472,1,471,728314,622111,106203,611135,517756,93379,117179,104355,12824,390731,333364,57367,24491371,24491371,NA,148049596,148049596,NA
0400000US13,13,Georgia,2629379,2185062,444317,742464,657804,84660,1886915,1527258,359657,989779,982350,7429,897136,544908,352228,1492206,1372838,119368,5517412,4875758,641654,5312656,4707232,605424,93124,83624,9500,111632,84902,26730,75125160,68423736,6701424,1317112,912181,404931,732784,395530,337254,584328,516651,67677,73268587,67425308,5843279,11919048,11093636,825412,11919019,11093636,825383,11621560,11085262,536298,297459,8374,289085,29,0,29,61349539,56331672,5017867,8152063,7221659,930404,39407328,35768479,3638849,4498,0,4498,496459,419901,76558,12436639,12179437,257202,852552,742196,110356,539461,86247,453214,36446,2433,34013,503015,83814,419201,34,10,24,650514,616476,34038,404500,373722,30778,246014,242754,3260,198535,170676,27859,12734242,12734242,NA,85323595,85323595,NA
0400000US15,15,Hawaii,727118,727118,X,178765,178765,X,548353,548353,X,410342,410342,X,138011,138011,X,-22518,-22518,X,1038710,1038710,X,983244,983244,X,7187,7187,X,48279,48279,X,11880595,11880595,X,525424,525424,X,525424,525424,X,0,0,X,9523985,9523985,X,512670,512670,X,512670,512670,X,512670,512670,X,0,0,X,0,0,X,9011315,9011315,X,2712167,2712167,X,6299148,6299148,X,0,0,X,0,0,X,0,0,X,0,0,X,1831186,1831186,X,1234106,1234106,X,597080,597080,X,1,1,X,72508,72508,X,65599,65599,X,6909,6909,X,40774,40774,X,3890000,3890000,X,20683400,20683400,X
0400000US16,16,Idaho,471198,470569,629,179530,179530,0,291668,291039,629,74849,74694,155,216819,216345,474,179337,178384,953,694720,692883,1837,647161,645450,1711,40,0,40,47519,47433,86,11515380,11497154,18226,413678,412983,695,3899,3575,324,409779,409408,371,10582666,10568837,13829,19158,13196,5962,19158,13196,5962,8194,6588,1606,10964,6608,4356,0,0,0,10563508,10555641,7867,2650676,2649709,967,5187359,5181620,5739,477167,477167,0,139,0,139,2248167,2247145,1022,0,0,0,519036,515334,3702,0,0,0,519036,515334,3702,4,2,2,92008,92008,0,65321,65321,0,26687,26687,0,37295,37234,61,2625300,2625300,NA,13473928,13473928,NA
0400000US17,17,Illinois,9952918,7594209,2358709,2665550,1780769,884781,7287368,5813440,1473928,4926334,4857741,68593,2361034,955699,1405335,1291052,742539,548513,14514726,9943648,4571078,13672022,9335247,4336775,313975,206835,107140,528729,401566,127163,127205541,87721822,39483719,5646999,2773133,2873866,1946966,1501131,445835,3700033,1272002,2428031,100801521,69661298,31140223,15430383,7799966,7630417,15411191,7799966,7611225,8394350,4019708,4374642,7016841,3780258,3236583,19192,0,19192,85371138,61861332,23509806,13078497,9409456,3669041,43903186,31578634,12324552,4725,0,4725,1201125,608164,592961,25014867,19238352,5776515,2168738,1026726,1142012,20757021,15287391,5469630,6396829,5455643,941186,14360192,9831748,4528444,656,6,650,941780,767504,174276,611923,472993,138930,329857,294511,35346,444798,322679,122119,23810231,23810231,NA,186034149,186034149,NA
0400000US18,18,Indiana,1966297,1854367,111930,336523,333470,3053,1629774,1520897,108877,1114662,1032571,82091,515112,488326,26786,323668,313419,10249,2401795,2291831,109964,2172485,2063840,108645,94725,94399,326,134585,133592,993,25972328,25695769,276559,2691292,2651249,40043,1841050,1804268,36782,850242,846981,3261,19253678,19017396,236282,6426718,6404631,22087,6426718,6404631,22087,5152145,5135747,16398,1274573,1268884,5689,0,0,0,12826960,12612765,214195,4733962,4707529,26433,5392764,5320572,72192,0,0,0,141884,131336,10548,2454345,2453176,1169,104005,152,103853,4027358,4027124,234,0,0,0,4027358,4027124,234,69,8,61,275288,273056,2232,233954,231847,2107,41334,41209,125,131194,128411,2783,9906598,9906598,NA,40676591,40676591,NA
0400000US19,19,Iowa,1038570,1036662,1908,396690,396637,53,641880,640025,1855,125977,125810,167,515903,514215,1688,891718,889735,1983,1827621,1823979,3642,1716561,1713190,3371,44536,44429,107,66524,66360,164,25695752,25654513,41239,758551,755835,2716,29247,27104,2143,729304,728731,573,21999535,21961799,37736,3214911,3207680,7231,3214911,3207680,7231,1726008,1719046,6962,1488903,1488634,269,0,0,0,18784624,18754119,30505,2722362,2716116,6246,5372263,5350436,21827,0,0,0,5888769,5886337,2432,4801230,4801230,0,0,0,0,2937666,2936879,787,23888,23888,0,2913778,2912991,787,9,4,5,238502,238200,302,169126,168898,228,69376,69302,74,106660,106480,180,7114339,7114339,NA,32590238,32590238,NA
0400000US20,20,Kansas,952418,915742,36676,309391,298105,11286,643027,617637,25390,415304,415175,129,227723,202462,25261,149958,131567,18391,1489503,1404139,85364,1376611,1296015,80596,57218,55897,1321,55674,52227,3447,14574452,13277148,1297304,377739,337464,40275,84225,81396,2829,293514,256068,37446,12357589,11225736,1131853,2101325,2007168,94157,2101325,2007168,94157,1194726,1175553,19173,906599,831615,74984,0,0,0,10256264,9218568,1037696,1485055,1291761,193294,5089305,4475817,613488,0,0,0,2007,0,2007,3679897,3450990,228907,0,0,0,1839124,1713948,125176,276504,276504,0,1562620,1437444,125176,8,1,7,201102,197824,3278,158042,155054,2988,43060,42770,290,87040,83933,3107,6401462,6401462,NA,22607170,22607170,NA
